Location ZIP [Public School] 2011-12,School Name,ScriptEd,NAF/DOE,CTE,MOUSE,CSNYC,Bootstrap,SGD,SEP,TEALS,ECS,ASE,C/I,AP CS A,Club,Charter,CS Courses?,Address,Website,County,City,Lowest Grade Offered,Highest Grade Offered,Total Students 9th-12th [DOE 2013-14],9th Grade,10th Grade,11th Grade,12th Grade,Free Lunch % (Inside Schools),Free & Reduced Lunch (NCES  2011-12/2012-13),% eligible for free or reduced lunch (DOE 2013-14)
10010,47 The American Sign Language and English Secondary School,,,,,YES,,,,,YES,,,,,,Unclear,"225 East 23rd Street, New York, NY 10010",http://insideschools.org/component/schools/school/39,,MANHATTAN,9th Grade,12th Grade,189,66,46,46,31,,,83.2%
10031,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,,,,,,,,,,,,,,,,Academy of Engineering has STEM curriculum via Project Lead the Way; lots of AP but no CS AP; (212) 926-0113,"433 W 135th St, New York, NY 10031",http://aprandolph.enschool.org/,,MANHATTAN,9th Grade,12th Grade,1339,440,343,255,301,,,79.7%
11213,Academy for College Preparation and Career Exploration: A College Board School,,,,,,,,,,,,,,,,Unclear; 80% go to college; some AP classes,911 FLATBUSH AVE,http://insideschools.org/component/schools/school/1380,KINGS COUNTY,BROOKLYN,6th Grade,12th Grade,381,114,113,84,70,,,77.4%
11235,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,,,,,,,,,,,,,,,,Unclear ,6565 Flatlands Avenue Brooklyn NY 11235,http://insideschools.org/component/schools/school/1505,,BROOKLYN,9th Grade,12th Grade,280,90,76,65,49,,,78.6%
10453,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,,,,,,,,,,,,,,,,None,400 IRVING AVE,http://insideschools.org/component/schools/school/1378,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,352,122,83,78,69,,,100.0%
11213,ACADEMY FOR HEALTH CAREERS,,,YES,,,,,,,,,,,,,In 2nd year,"150 ALBANY AVE, BROOKLYN, NY 11213",http://insideschools.org/component/schools/school/1665,,BROOKLYN,9th Grade,12th Grade,314,115,95,77,27,,,92.0%
10453,ACADEMY FOR LANGUAGE AND TECHNOLOGY,,YES,YES,YES,,,,,,,,,,,,"MOUSE, far from subway","1700 Macombs Road, Bronx, NY 10453",http://insideschools.org/component/schools/school/1475,,BRONX,9th Grade,12th Grade,301,89,82,74,56,,,95.3%
10466,Academy for Scholarship and Entrepreneurship: A College Board School,,,YES,,YES,,,,,YES,,,,,,Unclear,"921 East 228th Street, Bronx, NY 10466",http://insideschools.org/component/schools/school/572,,Bronx,8th Grade,12th Grade,349,92,97,96,64,,,80.5%
11208,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,,,,,,,,,,,,,,,,Grant won to buy Smartboards and computers as part of plan to start CTE program,509 WEST 129TH ST,http://insideschools.org/component/schools/school/1483,NEW YORK COUNTY,NEW YORK,6th Grade,12th Grade,260,88,65,53,54,,,80.6%
10029,ACADEMY FOR YOUNG WRITERS,,,,,,,,,,,,,,,,None; Writing-focused; all students published by graduation; ,1065 ELTON ST,http://insideschools.org/component/schools/school/1379,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,423,148,102,92,81,,,78.3%
11101,ACADEMY OF FINANCE AND ENTERPRISE,,YES,YES,,,,,,,,,,,,,"""Computer"" offered; Business oriented","30-20 Thomson Avenue, Long Island City, NY 11101","http://www.aofehs.org/
http://insideschools.org/component/schools/school/1024",,Queens,9th Grade,12th Grade,467,115,120,128,104,,,80.9%
11226,Academy of Hospitality and Tourism,,YES,YES,,,,,,,,,,,,,Paid internships at Marriott; careers in hotels/restaurants,"911 FLATBUSH AVENUE, Brooklyn NY 11226",http://insideschools.org/component/schools/school/1377,,BROOKLYN,9th Grade,12th Grade,303,75,100,61,67,,,84.2%
11208,Academy of Innovative Technology,YES,YES,,,YES,,,,,,,,,,,Current ScriptEd School,"999 Jamaica Avenue, Brooklyn, NY 11208",http://insideschools.org/component/schools/school/1506,,BROOKLYN,9th Grade,12th Grade,440,123,87,110,120,,,78.9%
11691,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,,,,,,,,,,,,,,,,None; Prepares students for career in medicine; shadow at hospitals,8 21 BAY 25TH ST,http://insideschools.org/component/schools/school/1515,QUEENS COUNTY,FAR ROCKAWAY,6th Grade,12th Grade,412,126,105,90,91,,,78.1%
11237,ACADEMY OF URBAN PLANNING,,,,,,,,,,,,,,,,None,400 IRVING AVE,http://insideschools.org/component/schools/school/989,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,313,54,79,67,113,,,96.2%
11216,Achievement First Brooklyn High School,,,,,,,,,YES,,,,,,Yes,Unclear,"1485 Pacific Street, Brooklyn NY 11216",http://www.achievementfirst.org/schools/new-york-schools/achievement-first-brooklyn-high-school/about/,,Brooklyn,9th Grade,12th Grade,397,,,,,,80%,
11216,Achievement First Brooklyn University Prep High School,,,,,,,,,,,,,,,Yes,"Unclear; New school, only 9th-10th grades","1485 Pacific Street, Brooklyn NY 11216",http://www.achievementfirst.org/schools/new-york-schools/achievement-first-university-prep-high/about/,,BROOKLYN,9th Grade,10th Grade,187,,,,,,84%,
11238,ACORN COMMUNITY HIGH SCHOOL,,,,,,,,,,,,,,,,Technology Department; encourages black and latino boys to attend college,"561 Grand Avenue, Brooklyn, NY 11238",http://acornchs.org/,,BROOKLYN,9th Grade,12th Grade,623,186,168,131,138,,,86.4%
10451,Alfred E. Smith Career and Technical Education High School,,YES,YES,,,,,,,,,,,,,Unclear,"333 East 151st Street, Bronx, NY 10451",http://insideschools.org/component/schools/school/296,,BRONX,9th Grade,12th Grade,390,125,82,56,127,,,87.9%
11237,ALL CITY LEADERSHIP SECONDARY SCHOOL,,,,,,,,,,,,,,,,None - Principal: Elvis Estevez; (718) 246-6500 ,"321 PALMETTO STREET, Brooklyn, NY 11237",http://schools.nyc.gov/SchoolPortals/32/K554/default.htm,,BROOKLYN,6th Grade,12th Grade,146,40,37,39,30,,,88.3%
11237,Antonia Pantoja Preparatory Academy: A College Board School,,,,,,,,,,,,,,,,Robotics Extracurricular,1980 LAFAYETTE AVE,http://insideschools.org/component/schools/school/1587,BRONX COUNTY,BRONX,6th Grade,12th Grade,235,78,81,38,38,,,100.0%
11237,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",,,,,,,,,,,,,,,,"Math, Science, Tech focus; Technology Teacher",456 WHITE PLAINS RD,http://insideschools.org/component/schools/school/1495,BRONX COUNTY,BRONX,6th Grade,12th Grade,354,101,109,82,62,,,80.4%
10459,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,,,,,,,,,,,,,,,,Unclear; Transfer HS for students who need more attention - all 16 or 17 y ears old,"1010 REV. J. A. POLITE AVENUE, Bronx NY 10459",http://insideschools.org/component/schools/school/8175,,BRONX,9th Grade,12th Grade,226,0,104,58,64,,,77.9%
11233,Aspirations Diploma Plus High School,,,,,YES,,,,,YES,,,,,,Unclear,"1495 HERKIMER STREET, Brooklyn NY 11233",http://insideschools.org/component/schools/school/1522,,BROOKLYN,9th Grade,12th Grade,241,27,80,49,85,,,80.1%
10469,ASTOR COLLEGIATE ACADEMY,,,,,,,,,,,,,,,,Unclear; 4 years of science and math,925 Astor Avenue  Bronx NY 10469,http://www.astorcollegiate.com/,,BRONX,9th Grade,12th Grade,474,163,130,104,77,,,82.9%
11222,Automotive High School,,,YES,,,,,,,,,,,,,Selective technology program; certification in auto and computer repair,"50 Bedford Avenue, Brooklyn, NY 11222",http://insideschools.org/component/schools/school/655,,BROOKLYN,9th Grade,12th Grade,420,73,146,190,11,,,78.1%
11101,AVIATION CAREER AND TECHNICAL HIGH SCHOOL,,,YES,,,,,,,,,,,,,Students graduate with FAA certification - qualifies well-paying jobs at FAA out of HS,"45-30 36th Street, Long Island City, NY 11101","http://www.aviationhs.net/
http://insideschools.org/component/schools/school/1033",,Queens,9th Grade,12th Grade,2231,545,496,578,612,,,100.0%
10473,BANANA KELLY HIGH SCHOOL,,,,,,,,,,,,,,,,"Unclear; ""video gamers"" club",965 LONGWOOD AVE,http://insideschools.org/component/schools/school/342,BRONX COUNTY,BRONX,9th Grade,12th Grade,364,79,106,85,94,,,81.3%
11361,BAYSIDE HIGH SCHOOL,,,,,,,,,,,,,,,,None,"32-24 CORPORAL KENNEDY ST, QUEENS NY 11361",http://insideschools.org/component/schools/school/1101,,QUEENS,9th Grade,12th Grade,3241,1211,711,683,636,,,73.2%
11233,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,,,,,,,,,,,,,,,,Transfer school,832 MARCY AVE,http://insideschools.org/component/schools/school/1336,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,123,0,25,40,58,,,77.2%
10458,BELMONT PREPARATORY HIGH SCHOOL,,,,,,,,,,,,,,,,Unclear; lots of extracurriculars; 4 years of math and science,"500 East Fordham Road, Bronx, NY 10458",http://insideschools.org/component/schools/school/470,,BRONX,9th Grade,12th Grade,410,129,127,78,76,,,89.5%
11213,Boys and Girls High School,,,YES,,,,,,,,,,,,,Unclear,"1700 Fulton Street, Brooklyn, NY 11213",http://insideschools.org/component/schools/school/720,,BROOKLYN,9th Grade,12th Grade,940,160,200,219,361,,,74.8%
10458,Bronx Academy for Software Engineering (BASE),,,YES,,YES,,,,,,YES,YES,,,,4-year computer science sequence; computer-aided design extracurricular; Pytthon and Java; 1 after-school C/I class,"2474 CROTONA AVENUE, Bronx, NY 10458",http://insideschools.org/component/schools/school/8243,,Bronx,9th Grade,9th Grade,112,112,0,0,0,,,100.0%
10467,BRONX ACADEMY OF HEALTH CAREERS,,,,,,,,,,,,,,,,Bronx Community College Medical Billing and Coding Certification; Math/science focus; chance to work in hospital or nursing home; ,800 EAST GUN HILL RD,http://insideschools.org/component/schools/school/524,BRONX COUNTY,BRONX,9th Grade,12th Grade,461,132,158,105,66,,,100.0%
10467,BRONX AEROSPACE HIGH SCHOOL,,,,,,,,,,,,,,,,Robotics Club; space/air-related; Partnership with Air Force; housed with Bronx Lab and 4 others; No Tech listed,"800 EAST GUN HILL ROAD, Bronx NY 10467",http://insideschools.org/component/schools/school/535,BRONX COUNTY,BRONX,9th Grade,12th Grade,404,143,126,68,67,,,100.0%
10457,BRONX ARENA HIGH SCHOOL,,,,,,,,,,,,,,,,None; Transfer school for older students (collaboration between DOE and SCO Family of Services),1440 STORY AVE,http://www.bronxarena.org/courses.html,BRONX COUNTY,BRONX,9th Grade,12th Grade,214,33,65,69,47,,,76.6%
10459,BRONX BRIDGES HIGH SCHOOL,,,,,,,,,,,,,,,,All ELL school; Digital Art offered,1980 LAFAYETTE AVE,http://insideschools.org/component/schools/school/1658,BRONX COUNTY,BRONX,9th Grade,12th Grade,313,89,76,75,73,,,100.0%
10457,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,,,,,,,,,,,,,,,,None; high-expectations school,800 HOME ST,http://insideschools.org/component/schools/school/1589,BRONX COUNTY,BRONX,9th Grade,12th Grade,323,143,105,41,34,,,89.2%
10456,BRONX CENTER FOR SCIENCE AND MATHEMATICS,,,,YES,,,,,,,,,,,,MOUSE; High attendance and test scores; 3rd best school in Bronx for college readiness,"1365 Fulton Avenue, Bronx, NY 10456",http://insideschools.org/component/schools/school/395,,BRONX,9th Grade,12th Grade,461,131,120,112,98,,,82.6%
10468,BRONX COLLABORATIVE HIGH SCHOOL,,,,,,,,,,,,,,,,New school,"100 WEST MOSHOLU PARKWAY SOUTH, BRONX NY",http://insideschools.org/component/schools/school/8248,,Bronx,9th Grade,10th Grade,90,90,0,0,0,,,85.6%
10457,BRONX COLLEGIATE ACADEMY,,,,,,,,,,,,,,,,None; emphasis on college,"240 EAST 172 STREET, Bronx NY 10457",http://insideschools.org/component/schools/school/389,,BRONX,9th Grade,12th Grade,356,119,89,74,74,,,100.0%
10473,BRONX COMMUNITY HIGH SCHOOL,,,,,,,,,,,,,,,,Unclear - transfer school for older students,"1980 Lafayette Avenue, Bronx, NY 10473",http://insideschools.org/component/schools/school/1491,,BRONX,9th Grade,12th Grade,198,35,98,44,21,,,100.0%
10473,Bronx Compass High School,,,,,YES,,,YES,,,,,,YES,,Tech Squad,"1980 Lafayette Avenue, Bronx, NY 10473",http://insideschools.org/component/schools/school/8155,,Bronx,9th Grade,11th Grade,195,105,90,0,0,,,100.0%
10451,Bronx Design and Construction Academy,,,YES,,,,,,,,,,,,,Very new; hand-ons training in construction trades or architectural drafting,"333 East 151st Street, Bronx, NY 10451",http://insideschools.org/component/schools/school/1737,,Bronx,9th Grade,12th Grade,429,187,147,93,2,,,92.1%
10459,BRONX EARLY COLLEGE ACADEMY FOR TEACHING AND LEARNING,,,,YES,,,,,,,,,,YES,,MOUSE squad,250 EAST 164TH ST,http://insideschools.org/component/schools/school/1365,BRONX COUNTY,BRONX,6th Grade,12th Grade,277,84,72,62,59,,,91.1%
10463,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,,YES,YES,,,,,,,,,YES,,YES,,Technology Competitions; C/I has one after-school class; Bronx and ELL students,"99 TERRACE VIEW AVENUE, Bronx NY 10463",http://insideschools.org/component/schools/school/462,,BRONX,9th Grade,12th Grade,420,153,112,68,87,,,81.9%
11236,BRONX ENVISION ACADEMY,,,,,,,,,,,,,,,,None; focused on the arts,1619 BOSTON RD,http://insideschools.org/component/schools/school/1523,BRONX COUNTY,BRONX,9th Grade,10th Grade,239,96,83,60,0,,,88.3%
10473,BRONX GUILD,,,,,,,,,,,,,,,,Unclear; students spent 2-3 days at internships off campus,"1980 Lafayette Avenue, Bronx, NY 10473",http://insideschools.org/component/schools/school/340,,BRONX,9th Grade,12th Grade,315,92,82,60,81,,,100.0%
10451,BRONX HAVEN HIGH SCHOOL,,,,,,,,,,,,,,,,"Older students; same building as Alfred E Smith and Bronx Design & Construction HSs; ""Learning to Work Internships"" are paid internships; ",333 EAST 151ST ST,http://insideschools.org/component/schools/school/518,BRONX COUNTY,BRONX,9th Grade,12th Grade,172,28,58,51,35,,,75.0%
10460,BRONX HEALTH SCIENCES HIGH SCHOOL,,,,,,,,,,,,,,,,Four years of math and science; ,750 BAYCHESTER AVE,http://insideschools.org/component/schools/school/400,BRONX COUNTY,BRONX,9th Grade,12th Grade,345,100,73,103,69,,,82.0%
10458,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICES,,,YES,,,,,,,,,,,,,None,"500 East Fordham Road, Bronx, NY 10458",http://insideschools.org/component/schools/school/474,,BRONX,9th Grade,12th Grade,403,137,109,73,84,,,91.6%
11225,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,,,,,,,,,,,,,,,,Medicine/Science career-focused (students wear scrubs); College Now classes offered,240 EAST 172ND ST,http://insideschools.org/component/schools/school/519,BRONX COUNTY,BRONX,6th Grade,12th Grade,298,71,92,92,43,,,100.0%
11233,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,,,,,,,,,,,,,,,,None; Writing/Drama focused,800 EAST GUN HILL RD,http://insideschools.org/component/schools/school/520,BRONX COUNTY,BRONX,9th Grade,12th Grade,413,142,126,78,67,,,100.0%
10457,BRONX HIGH SCHOOL OF BUSINESS,,,YES,,,,,,,,,,,YES,,Web Team,"240 East 172nd Street, Bronx, NY 10457",http://insideschools.org/component/schools/school/399,,BRONX,9th Grade,12th Grade,359,85,96,92,86,,,100.0%
10456,BRONX INTERNATIONAL HIGH SCHOOL,,,YES,,,,,,,,,YES,,,,C/I has one after-school class,"1110 BOSTON ROAD, BRONX, NY 10456",http://www.bronxinternationalhs.com/,,BRONX,9th Grade,12th Grade,414,75,113,104,122,,,94.2%
11203,BRONX LAB SCHOOL,,,,,,,,,,,,,,,,None,800 EAST GUN HILL RD,http://insideschools.org/component/schools/school/405,BRONX COUNTY,BRONX,9th Grade,12th Grade,476,136,124,113,103,,,100.0%
10456,BRONX LATIN SCHOOL,,,,,,,,,,,,,,,,Unclear; no extracurricular; ranked top 50 NYC HS; 718-991-6349,"800 Home Street, Rm. 426; Bronx, NY 10456",http://bronxlatin.com/,,BRONX,6th Grade,12th Grade,279,98,70,56,55,,,91.8%
10457,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,,,,YES,YES,,,,,YES,,,,,,Unclear,"1710 WEBSTER AVENUE , Bronx NY 10457",http://insideschools.org/component/schools/school/404,,BRONX,9th Grade,12th Grade,711,161,196,176,178,,,88.0%
11201,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,,,,,,,,,,,,,,,,None,730 CONCOURSE VILLAGE WEST,http://insideschools.org/component/schools/school/332,BRONX COUNTY,BRONX,9th Grade,12th Grade,515,146,149,104,116,,,91.5%
10459,BRONX LIGHTHOUSE CHARTER SCHOOL,,,,,,,,,,,,,,,YES,Technology Instruction during the schoolday,1001 INTERVALE AVE,http://www.lighthouse-academies.org/schools/bronx,,BRONX,Kindergarten,11th Grade,636*,,,,,82.0%,,
10457,BRONX PREPARATORY CHARTER SCHOOL,,,,,,,,,,,,,,,YES,Every student admitted to at least 1 college; 50% more classroom time than other schools (extended day/year),3872 3RD AVE,http://www.bronxprep.org/,,BRONX,5th Grade,12th Grade,686*,,,,,,79.7%,
10459,BRONX REGIONAL HIGH SCHOOL,,,,,,,,,,,,,,,,Transition school for kids who have experienced setbacks in other HSs,"1010 REV. J. A. POLITE AVENUE, Bronx NY 10459",http://insideschools.org/component/schools/school/1330,,Bronx,10th Grade,12th Grade,255,0,53,91,111,,,83.9%
10461,BRONX RIVER HIGH SCHOOL,,,,,,,,,,,,,,,,New school,"3000 East Tremont Avenue, Bronx NY 10461",http://insideschools.org/component/schools/school/8239,,Bronx,9th Grade,10th Grade,101,101,0,0,0,,,100.0%
10451,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",,,,,,,,,,,,,,,,None; partner with BuildOn nonprofit (mentorship program),"244 East 163rd Street, Bronx, NY 10451",http://www.bronxlgj.org/,,BRONX,6th Grade,12th Grade,494,159,113,110,112,,,89.7%
10463,BRONX SCHOOL OF LAW AND FINANCE,,YES,YES,,,,,,,,,,,,,None; themed on law/court,"99 Terrace View Avenue, Bronx, NY 10463",http://www.lawandfinance.org/,,BRONX,9th Grade,12th Grade,435,132,103,106,94,,,83.7%
11208,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,,,,,,,,,,,,,,,,None,928 SIMPSON ST,http://insideschools.org/component/schools/school/1735,BRONX COUNTY,BRONX,6th Grade,12th Grade,303,125,94,40,44,,,100.0%
10463,BRONX THEATRE HIGH SCHOOL,,,,,,,,,,,,,,,,None; arts and theater school,"99 Terrace View Avenue, Bronx, NY 10463",http://www.bxtheatre.org/,,BRONX,9th Grade,12th Grade,435,163,136,86,50,,,81.8%
10469,Bronxdale High School,,,YES,,,,,,,,,,,,,Unclear; small classes,"925 Astor Ave, Bronx NY 10469",http://insideschools.org/component/schools/school/1736,,Bronx,9th Grade,11th Grade,332,139,126,67,0,,,86.4%
11212,BROOKLYN ACADEMY HIGH SCHOOL,,,,,,,,,,,,,,,,"Shares facilities with Bedford Stuy. Prep School & Uncommon Collegiate; Internship Coordinator who places HALF of students in Paid Internships; CAMBA ""Learn To Work"" Program",832 MARCY AVE,http://insideschools.org/component/schools/school/1333,KINGS COUNTY,BROOKLYN,10th Grade,12th Grade,160,0,45,48,67,,,86.3%
11212,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,,,,,,,,,,,,,,,,None,883 CLASSON AVE,http://insideschools.org/component/schools/school/767,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,477,115,161,114,87,,,80.9%
11236,BROOKLYN BRIDGE ACADEMY,,,,,,,,,,,,,,,,Unclear,"6565 FLATLANDS AVENUE, Brooklyn NY 11236",http://schools.nyc.gov/SchoolPortals/18/K578/default.htm,,BROOKLYN,9th Grade,12th Grade,179,20,46,64,49,,,81.6%
11233,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,,,,,,,,,,,,,,,,Unclear:  718-922-1145,"2021 Bergen Street, Brooklyn, NY 11233",http://www.brooklyncollegiate.net/,,BROOKLYN,9th Grade,12th Grade,345,107,87,86,65,,,84.5%
11205,"Brooklyn Community High School of Communication, Arts and Media",,,,,YES,,,,,YES,,,,,,Unclear,"300 Willoughby Avenue, Brooklyn, NY 11205",http://insideschools.org/component/schools/school/1376,,BROOKLYN,9th Grade,12th Grade,401,92,86,116,107,,,86.0%
11221,BROOKLYN FRONTIERS HIGH SCHOOL,,,,,,,,,,,,,,,,None; 9th graders who have been held back; Learn to Work paid internships,112 SCHERMERHORN ST,http://insideschools.org/component/schools/school/1757,KINGS COUNTY,BROOKLYN,9th Grade,10th Grade,169,50,71,48,0,,,89.3%
10002,BROOKLYN GENERATION SCHOOL,,,,,,,,,,,,,,,,None; longer school year,6565 FLATLANDS AVE,http://insideschools.org/component/schools/school/1412,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,297,67,85,76,69,,,84.5%
11221,Brooklyn High School for Law and Technology,YES,,,,,,,,,,,,,,,Current ScriptEd School,"1396 BROADWAY, Brooklyn NY 11221",http://insideschools.org/component/schools/school/694,,BROOKLYN,9th Grade,12th Grade,518,181,167,94,76,,,83.6%
11694,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,,,,,,,,,,,,,,,,None; Older students; Learn to Work Program (paid internships),300 WILLOUGHBY AVE,http://insideschools.org/component/schools/school/1525,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,233,48,66,39,80,,,77.3%
11217,BROOKLYN HIGH SCHOOL OF THE ARTS,,,,,,,,,,,,,,,,None; lots of new technology in school,"345 Dean Street, Brooklyn NY 11217",http://insideschools.org/component/schools/school/697,,BROOKLYN,9th Grade,12th Grade,815,279,286,109,141,,,76.3%
10033,BROOKLYN INSTITUTE FOR LIBERAL ARTS,,,,,,,,,,,,,,YES,,Technology Extracurricular; Digital Learning Initiative,600 KINGSTON AVE,http://insideschools.org/component/schools/school/8184,KINGS COUNTY,BROOKLYN,9th Grade,11th Grade,170,74,96,0,0,,,86.5%
11201,Brooklyn International High School,YES,,,,,,,,,,,,,,,Current ScriptEd School,"49 Flatbush Avenue Extension, Brooklyn, NY 11201",http://insideschools.org/component/schools/school/613,,BROOKLYN,9th Grade,12th Grade,343,90,88,83,82,,,100.0%
10451,BROOKLYN LAB SCHOOL,,,,,,,,,,,,,,,,Unclear; Principal is former Technology teacher,999 JAMAICA AVE,http://insideschools.org/component/schools/school/1507,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,364,210,45,71,38,,,83.2%
11211,BROOKLYN PREPARATORY HIGH SCHOOL,,,,,,,,,,,,,,,,Web Design offered,"257 North 6th Street, Brooklyn, NY 11211","http://www.brooklynprephs.org/
http://insideschools.org/component/schools/school/615",,BROOKLYN,9th Grade,12th Grade,489,136,135,111,107,,,81.8%
11201,BROOKLYN SCHOOL FOR GLOBAL STUDIES,,,,,,,,,,,,,,,,Unclear; 718-694-9741,"284 Baltic Street, Brooklyn, NY 11201",http://schools.nyc.gov/schoolportals/15/k429/default.htm,,BROOKLYN,6th Grade,12th Grade,190,58,49,35,48,,,84.4%
10452,BROOKLYN SCHOOL FOR MATH AND RESEARCH,,,,,,,,,,,,,,,,None,400 IRVING AVE,http://insideschools.org/component/schools/school/1728,KINGS COUNTY,BROOKLYN,9th Grade,10th Grade,203,98,72,33,0,,,89.2%
11225,Brooklyn School for Music and Theatrer,,,YES,,,,,,,,,,,YES,,Tech Team,"883 Classon Ave, Brooklyn NY 11225",http://insideschools.org/component/schools/school/768,,BROOKLYN,9th Grade,12th Grade,399,136,124,59,80,,,81.0%
11214,BROOKLYN STUDIO SECONDARY SCHOOL,,,,,,,,,,,,,,,,Unclear; Strong arts program,"8310 21st Avenue, Brooklyn NY 11214",http://insideschools.org/component/schools/school/902,,BROOKLYN,6th Grade,12th Grade,647,226,174,132,115,,,74.4%
